,,,,time,grids per second
0,0,0,0,,
1,"8,400","8,400","7,056",,
2,"70,560","78,960","48,216",    ,
3,"482,160","561,120","28,480",,
4,"284,800","845,920","77,828",    ,
5,"778,280","1,624,200","34,742",,
6,"24,554,810","26,179,010","9,206,112",,
7,"92,061,120","118,240,130","20,534,220",,
8,"205,342,200","323,582,330","76,708,885",,
9,"767,088,850","1,090,671,180","81,904,553",,
10,"819,045,530","1,909,716,710","104,559,892", ,
11,"1,045,598,920","2,955,315,630","101,427,856",     ,
12,"55,475,655,180","58,430,970,810","1,058,912,094",74394.87222,935.0198133
13,"10,589,120,940","69,020,091,750","360,598,535",  ,
14,"3,605,985,350","72,626,077,100","207,764,282", ,
15,"2,077,642,820","74,703,719,920","86,324,332",,
16,"863,243,320","75,566,963,240","38,624,553",  ,
17,"386,245,530","75,953,208,770","8,656,446", ,
18,"4,631,145,390","80,584,354,160","19,593,461",    ,
19,"195,960,307","80,780,314,467","4,486,521",108089.8526,889.6953668